Location,Main Library Name,10.15 Phone,Address,10.7 City,Zip Code,10.9 Zip+4 Code,URL
Springtown Branch Library,LIVERMORE PUBLIC LIBRARY,(925) 373-5517,998 Bluebell Dr.,LIVERMORE,94551,1420.0,http://www.livermorelibrary.net
Lodi Public Library,LODI PUBLIC LIBRARY,(209) 333-5566,201 W. Locust Street,LODI,95240,2013.0,library.lodi.gov
Lompoc Public Library,LOMPOC PUBLIC LIBRARY,(805) 875-8775,501 E. North Ave.,LOMPOC,93436,3404.0,http://www.cityoflompoc.com/library/
Vandenberg Village Branch,LOMPOC PUBLIC LIBRARY,(805) 733-3323,3755 Constellation Road,LOMPOC,93436,1401.0,http://www.cityoflompoc.com/library/
Alamitos Branch Library,LONG BEACH PUBLIC LIBRARY,(562) 570-1037,1836 E. Third St.,LONG BEACH,90802,3936.0,http://www.lbpl.org/
Bach Branch Library,LONG BEACH PUBLIC LIBRARY,(562) 570-1038,4055 Bellflower Blvd.,LONG BEACH,90808,1904.0,http://www.lbpl.org/
Bay Shore Branch Library,LONG BEACH PUBLIC LIBRARY,(562) 570-1039,195 Bay Shore Ave.,LONG BEACH,90803,3499.0,http://www.lbpl.org/
Bret Harte Branch Library,LONG BEACH PUBLIC LIBRARY,(562) 570-1044,1595 W. Willow St.,LONG BEACH,90810,3124.0,http://www.lbpl.org/
Brewitt Branch Library,LONG BEACH PUBLIC LIBRARY,(562) 570-1040,4036 E. Anaheim St.,LONG BEACH,90804,4137.0,http://www.lbpl.org/
Burnett Branch Library,LONG BEACH PUBLIC LIBRARY,(562) 570-1041,560 E. Hill St.,LONG BEACH,90806,4454.0,http://www.lbpl.org/
Dana Branch Library,LONG BEACH PUBLIC LIBRARY,(562) 570-1042,3680 Atlantic Ave.,LONG BEACH,90807,3418.0,http://www.lbpl.org/
El Dorado Branch Library,LONG BEACH PUBLIC LIBRARY,(562) 570-3136,2900 Studebaker Rd.,LONG BEACH,90815,1631.0,http://www.lbpl.org/
Billie Jean King Main Library,LONG BEACH PUBLIC LIBRARY,(562) 570-7500,200 W. Broadway,LONG BEACH,90802,4433.0,http://www.lbpl.org/
Los Altos Branch Library,LONG BEACH PUBLIC LIBRARY,(562) 570-1045,5614 Britton Dr.,LONG BEACH,90815,3129.0,http://www.lbpl.org/
Mark Twain Branch Library,LONG BEACH PUBLIC LIBRARY,(562) 570-1046,1401 E. Anaheim St.,LONG BEACH,90813,3711.0,http://www.lbpl.org/
Michelle Obama Branch Library,LONG BEACH PUBLIC LIBRARY,(562) 570-1047,5870 Atlantic Ave.,LONG BEACH,90805,4106.0,http://www.lbpl.org/
Loomis Library & Community Learning Center,LOOMIS LIBRARY & COMMUNITY LEARNING CENTER,(916) 824-2905,6050 Library Dr.,LOOMIS,95650,,https://loomislibrary.org/
Angeles Mesa Branch,LOS ANGELES PUBLIC LIBRARY,(323) 292-4328,2700 W. 52Nd St.,LOS ANGELES,90043,1999.0,http://www.lapl.org
Arroyo Seco Regional Branch,LOS ANGELES PUBLIC LIBRARY,(323) 255-0537,6145 N. Figueroa St.,LOS ANGELES,90042,3565.0,http://www.lapl.org
Ascot Branch,LOS ANGELES PUBLIC LIBRARY,(323) 759-4817,120 W. Florence Ave.,LOS ANGELES,90003,1805.0,http://www.lapl.org
Atwater Village Branch,LOS ANGELES PUBLIC LIBRARY,(323) 664-1353,3379 Glendale Blvd.,LOS ANGELES,90039,1825.0,http://www.lapl.org
Baldwin Hills Branch,LOS ANGELES PUBLIC LIBRARY,(323) 733-1196,2906 S. La Brea,LOS ANGELES,90016,3902.0,http://www.lapl.org
Benjamin Franklin Branch,LOS ANGELES PUBLIC LIBRARY,(323) 263-6901,2200 E. First St.,LOS ANGELES,90033,3997.0,http://www.lapl.org
Brentwood - Donald Bruce Kaufman Branch,LOS ANGELES PUBLIC LIBRARY,(310) 575-8273,11820 San Vicente Blvd.,LOS ANGELES,90049,5055.0,http://www.lapl.org
Cahuenga Branch,LOS ANGELES PUBLIC LIBRARY,(323) 664-6418,4591 Santa Monica Blvd.,LOS ANGELES,90029,1827.0,http://www.lapl.org
Canoga Park Branch,LOS ANGELES PUBLIC LIBRARY,(818) 887-0320,20939 Sherman Way,CANOGA PARK,91303,1744.0,http://www.lapl.org
Chatsworth Branch,LOS ANGELES PUBLIC LIBRARY,(818) 341-4276,21052 Devonshire St,CHATSWORTH,91311,2314.0,http://www.lapl.org
Chinatown Branch,LOS ANGELES PUBLIC LIBRARY,(213) 620-0925,639 N. Hill St.,LOS ANGELES,90012,2317.0,http://www.lapl.org
Cypress Park Branch,LOS ANGELES PUBLIC LIBRARY,(323) 224-0039,1150 Cypress Ave.,LOS ANGELES,90065,1144.0,http://www.lapl.org
Durant - Will And Ariel Branch,LOS ANGELES PUBLIC LIBRARY,(323) 876-2741,7140 W. Sunset Blvd.,LOS ANGELES,90046,4416.0,http://www.lapl.org
Eagle Rock Branch,LOS ANGELES PUBLIC LIBRARY,(323) 250-7808,5027 Caspar Ave.,LOS ANGELES,90041,1901.0,http://www.lapl.org
Echo Park Branch,LOS ANGELES PUBLIC LIBRARY,(213) 250-7808,1410 W. Temple St.,LOS ANGELES,90026,5668.0,http://www.lapl.org
Edendale Branch,LOS ANGELES PUBLIC LIBRARY,(213) 207-3000,2011 W. Sunset Blvd.,LOS ANGELES,90026,3122.0,http://www.lapl.org
El Sereno Branch,LOS ANGELES PUBLIC LIBRARY,(323) 225-9201,5226 Huntington Dr. South,LOS ANGELES,90032,1704.0,http://www.lapl.org
Encino-Tarzana Branch,LOS ANGELES PUBLIC LIBRARY,(818) 343-1983,18231 Ventura Blvd.,TARZANA,91356,3620.0,http://www.lapl.org
Exposition Park  - Dr. Mary Mcleod Bethune Regional Branch,LOS ANGELES PUBLIC LIBRARY,(323) 290-3113,3900 S. Western Ave.,LOS ANGELES,90062,1111.0,http://www.lapl.org
Fairfax Branch,LOS ANGELES PUBLIC LIBRARY,(323) 936-6191,161 S. Gardner St.,LOS ANGELES,90036,2717.0,http://www.lapl.org
Felipe De Neve Branch,LOS ANGELES PUBLIC LIBRARY,(213) 384-7676,2820 W. Sixth St.,LOS ANGELES,90057,3204.0,http://www.lapl.org
Granada Hills Branch,LOS ANGELES PUBLIC LIBRARY,(818) 368-5687,10640 Petit Ave.,GRANADA HILLS,91344,6305.0,http://www.lapl.org
Harbor City - Harbor Gateway Branch,LOS ANGELES PUBLIC LIBRARY,(310) 534-9520,24000 S. Western Ave.,HARBOR CITY,90710,1741.0,http://www.lapl.org
Hollywood - Frances Howard Goldwyn Regional Branch,LOS ANGELES PUBLIC LIBRARY,(323) 856-8260,1623 Ivar Ave.,LOS ANGELES,90028,6305.0,http://www.lapl.org
Hyde Park - Miriam Matthews Branch,LOS ANGELES PUBLIC LIBRARY,(323) 750-7241,2205 Florence Av,LOS ANGELES,90043,5101.0,http://www.lapl.org
Jefferson Branch,LOS ANGELES PUBLIC LIBRARY,(323) 734-8573,2211 W. Jefferson Blvd.,LOS ANGELES,90018,3741.0,http://www.lapl.org
John C. Fremont Branch,LOS ANGELES PUBLIC LIBRARY,(323) 962-3521,6121 Melrose Ave.,LOS ANGELES,90038,3339.0,http://www.lapl.org
John Muir Branch,LOS ANGELES PUBLIC LIBRARY,(323) 789-4800,1005 W. 64Th St.,LOS ANGELES,90044,3605.0,http://www.lapl.org
Junipero Serra Branch,LOS ANGELES PUBLIC LIBRARY,(323) 234-1685,4607 S. Main St.,LOS ANGELES,90037,2735.0,http://www.lapl.org
Lake View Terrace Branch,LOS ANGELES PUBLIC LIBRARY,(818) 890-7404,12002 Osborne St.,LAKE VIEW TERRACE,91342,834.0,http://www.lapl.org
Lincoln Heights Branch,LOS ANGELES PUBLIC LIBRARY,(323) 226-1692,2530 Workman St.,LOS ANGELES,90031,2322.0,http://www.lapl.org
Little Tokyo Branch Library,LOS ANGELES PUBLIC LIBRARY,(213) 612-0525,203 S. Los Angeles Street,LOS ANGELES,90012,3704.0,http://www.lapl.org
Los Feliz Branch,LOS ANGELES PUBLIC LIBRARY,(323) 913-4710,1874 Hillhurst Ave.,LOS ANGELES,90027,4427.0,http://www.lapl.org
Malabar Branch,LOS ANGELES PUBLIC LIBRARY,(323) 263-1497,2801 Wabash Ave.,LOS ANGELES,90033,2604.0,http://www.lapl.org
Mark Twain Branch,LOS ANGELES PUBLIC LIBRARY,(323) 755-4088,9621 S. Figueroa St.,LOS ANGELES,90039,3929.0,http://www.lapl.org
Mar Vista Branch,LOS ANGELES PUBLIC LIBRARY,(310) 390-3454,12006 Venice Blvd.,LOS ANGELES,90066,3810.0,http://www.lapl.org
Memorial Branch,LOS ANGELES PUBLIC LIBRARY,(323) 938-2732,4625 W. Olympic Blvd.,LOS ANGELES,90019,1832.0,http://www.lapl.org
Mid-Valley Regional Branch Library,LOS ANGELES PUBLIC LIBRARY,(818) 895-3650,16244 Nordhoff St.,NORTH HILLS,91343,3800.0,http://www.lapl.org
North Hollywood Amelia Earhart Regional Branch,LOS ANGELES PUBLIC LIBRARY,(818) 766-7185,5211 Tujunga Ave.,NORTH HOLLYWOOD,91601,3119.0,http://www.lapl.org
Northridge Branch,LOS ANGELES PUBLIC LIBRARY,(818) 886-3640,9051 Darby Ave.,NORTHRIDGE,91325,2708.0,http://www.lapl.org
Pacoima Branch,LOS ANGELES PUBLIC LIBRARY,(818) 899-5203,13605 Van Nuys Blvd.,PACOIMA,91331,3613.0,http://www.lapl.org
Palisades Branch,LOS ANGELES PUBLIC LIBRARY,(310) 459-2754,861 Alma Real Dr.,PACIFIC PALISADES,90272,3730.0,http://www.lapl.org
Palms-Rancho Park Branch,LOS ANGELES PUBLIC LIBRARY,(310) 840-2142,2920 Overland Ave.,LOS ANGELES,90064,4299.0,http://www.lapl.org
Panorama City Branch,LOS ANGELES PUBLIC LIBRARY,(818) 894-4071,14345 Roscoe Blvd.,PANORAMA CITY,91402,4297.0,http://www.lapl.org
Pico Union Branch,LOS ANGELES PUBLIC LIBRARY,(213) 368-7647,1030 S. Alvarado St.,LOS ANGELES,90006,3712.0,http://www.lapl.org
Pio Pico Koreatown Branch,LOS ANGELES PUBLIC LIBRARY,(213) 368-7647,694 S. Oxford,LOS ANGELES,90005,2872.0,http://www.lapl.org
Platt Branch,LOS ANGELES PUBLIC LIBRARY,(818) 340-9386,23600 Victory Blvd.,LOS ANGELES,91367,1349.0,http://www.lapl.org
Playa Vista Branch,LOS ANGELES PUBLIC LIBRARY,(310) 437-6680,6400 Playa Vista Drive,PLAYA VISTA,90094,2168.0,http://www.lapl.org
Porter Ranch Branch,LOS ANGELES PUBLIC LIBRARY,(818) 360-5706,11371 Tampa Ave.,LOS ANGELES,91326,1700.0,http://www.lapl.org
R. L. Stevenson Branch,LOS ANGELES PUBLIC LIBRARY,(323) 268-4710,803 Spence St.,LOS ANGELES,90023,1728.0,http://www.lapl.org
Robertson Branch,LOS ANGELES PUBLIC LIBRARY,(310) 840-2147,1719 S. Robertson Blvd.,LOS ANGELES,90035,4316.0,http://www.lapl.org
San Pedro Regional Branch,LOS ANGELES PUBLIC LIBRARY,(310) 548-7779,931 S. Gaffey St.,SAN PEDRO,90731,1349.0,http://www.lapl.org
Sherman Oaks - Martin Pollard Branch,LOS ANGELES PUBLIC LIBRARY,(818) 205-9716,14245 Moorpark St.,SHERMAN OAKS,91423,2722.0,http://www.lapl.org
Silver Lake Branch,LOS ANGELES PUBLIC LIBRARY,(323) 913-7451,2411 Glendale Blvd.,LOS ANGELES,90039,3217.0,http://www.lapl.org
Studio City Branch,LOS ANGELES PUBLIC LIBRARY,(818) 755-7873,12511 Moorpark St.,STUDIO CITY,91604,1399.0,http://www.lapl.org
Sunland-Tujunga Branch,LOS ANGELES PUBLIC LIBRARY,(818) 352-4481,7771 Foothill Blvd.,TUJUNGA,91042,2197.0,http://www.lapl.org
Sun Valley Branch,LOS ANGELES PUBLIC LIBRARY,(818) 764-1138,7935 Vineland Ave.,SUN VALLEY,91352,4498.0,http://www.lapl.org
Sylmar Branch,LOS ANGELES PUBLIC LIBRARY,(818) 367-6102,14430 Polk St.,SYLMAR,91342,4119.0,http://www.lapl.org
Valley Plaza Branch,LOS ANGELES PUBLIC LIBRARY,(818) 765-9251,12311 Vanowen St.,NORTH HOLLYWOOD,91605,5624.0,http://www.lapl.org
Van Nuys Branch,LOS ANGELES PUBLIC LIBRARY,(818) 756-8453,6250 Sylmar Ave. Mall,VAN NUYS,91401,2787.0,http://www.lapl.org
Venice - Abbot Kinney Memorial Branch,LOS ANGELES PUBLIC LIBRARY,(310) 821-1769,501 S. Venice Blvd.,VENICE,90291,3440.0,http://www.lapl.org
Vermont Square Branch,LOS ANGELES PUBLIC LIBRARY,(323) 290-7405,1201 W. 48Th St.,LOS ANGELES,90037,2838.0,http://www.lapl.org
Vernon  - Leon H. Washington Jr. Memorial Branch,LOS ANGELES PUBLIC LIBRARY,(323) 234-9106,4504 S. Central Ave.,LOS ANGELES,90011,9623.0,http://www.lapl.org
Washington Irving Branch,LOS ANGELES PUBLIC LIBRARY,(323) 734-6303,4117 W. Washington Blvd.,LOS ANGELES,90018,1053.0,http://www.lapl.org
Watts - Alma Reaves Woods Branch,LOS ANGELES PUBLIC LIBRARY,(323) 789-2850,10205 Compton Ave.,LOS ANGELES,90002,3308.0,http://www.lapl.org
Westchester - Loyola Village Branch,LOS ANGELES PUBLIC LIBRARY,(310) 348-1096,7114 W. Manchester Av.,LOS ANGELES,90045,3509.0,http://www.lapl.org
West Los Angeles Regional Branch,LOS ANGELES PUBLIC LIBRARY,(310) 575-8323,11360 Santa Monica Blvd.,LOS ANGELES,90025,3152.0,http://www.lapl.org
West Valley Regional Branch,LOS ANGELES PUBLIC LIBRARY,(818) 345-9806,19036 Vanowen St.,RESEDA,91335,5198.0,http://www.lapl.org
Westwood Branch,LOS ANGELES PUBLIC LIBRARY,(310) 474-1739,1246 Glendon Ave,WESTWOOD,90024,4914.0,http://www.lapl.org
Wilmington Branch,LOS ANGELES PUBLIC LIBRARY,(310) 834-1082,1300 North Avalon Blvd.,WILMINGTON,90744,2639.0,http://www.lapl.org
Wilshire Branch,LOS ANGELES PUBLIC LIBRARY,(323) 957-4550,149 N. St. Andrews Pl.,LOS ANGELES,90004,2602.0,http://www.lapl.org
Woodland Hills Branch,LOS ANGELES PUBLIC LIBRARY,(818) 226-0017,22200 Ventura Blvd.,WOODLAND HILLS,91364,1599.0,http://www.lapl.org
Los Angeles Public Library - Central Library,LOS ANGELES PUBLIC LIBRARY,(213) 228-7571,630 West Fifth St.,LOS ANGELES,90071,2097.0,http://www.lapl.org
Los Gatos Library,LOS GATOS LIBRARY,(408) 354-6891,100 Villa Avenue,LOS GATOS,95030,6981.0,http://library.losgatosca.gov
Chowchilla Branch Library,MADERA COUNTY LIBRARY,(559) 665-2630,300 Kings Ave.,CHOWCHILLA,93610,2809.0,www.maderalibrary.org
Madera Library,MADERA COUNTY LIBRARY,(559) 675-7871,121 N. G St.,MADERA,93637,3511.0,www.maderalibrary.org
North Fork Branch Library,MADERA COUNTY LIBRARY,(559) 877-2387,32908 Rd. 222,NORTH FORK,93643,9562.0,www.maderalibrary.org
Oakhurst Branch Library,MADERA COUNTY LIBRARY,(559) 683-4838,49044 Civic Circle,OAKHURST,93644,8713.0,www.maderalibrary.org
Ranchos Branch Library,MADERA COUNTY LIBRARY,(559) 645-1214,37398 Berkshire Drive,MADERA,93636,8778.0,www.maderalibrary.org
Bolinas Library,MARIN COUNTY FREE LIBRARY,(415) 868-1171,16 Wharf Rd.,BOLINAS,94924,10.0,http://www.marinlibrary.org
Civic Center Library,MARIN COUNTY FREE LIBRARY,(415) 473-6057,"3501 Civic Center Dr, #427",SAN RAFAEL,94903,4177.0,http://www.marinlibrary.org
Corte Madera Regional Library,MARIN COUNTY FREE LIBRARY,(415) 924-3515,707 Meadowsweet Drive,CORTE MADERA,94925,1717.0,http://www.marinlibrary.org
Fairfax Regional Library,MARIN COUNTY FREE LIBRARY,(415) 453-8151,2097 Sir Francis Drake Blvd,FAIRFAX,94930,1126.0,http://www.marinlibrary.org
Inverness Library,MARIN COUNTY FREE LIBRARY,(415) 669-1288,15 Park Ave.,INVERNESS,94937,160.0,http://www.marinlibrary.org
Marin City Library,MARIN COUNTY FREE LIBRARY,(415) 332-6158,164 Donahue St.,MARIN CITY,94965,1250.0,http://www.marinlibrary.org
Novato Regional Library,MARIN COUNTY FREE LIBRARY,(415) 473-2050,1720 Novato Blvd.,NOVATO,94947,3084.0,http://www.marinlibrary.org
Point Reyes Station Library,MARIN COUNTY FREE LIBRARY,(415) 663-8375,11431 State Route 1,POINT REYES STATION,94956,1330.0,http://www.marinlibrary.org
South Novato Library,MARIN COUNTY FREE LIBRARY,(415) 506-3165,931 C St.,NOVATO,94949,5061.0,http://www.marinlibrary.org
Stinson Beach Library,MARIN COUNTY FREE LIBRARY,(415) 868-0252,3521 Shoreline Hwy,STINSON BEACH,94970,578.0,http://www.marinlibrary.org
Bassett Memorial Library In Wawona,MARIPOSA COUNTY LIBRARY,(209) 375-6510,7971 Chilnualna Falls Road,WAWONA,95389,2008.0,http://www.mariposalibrary.org
El Portal Library,MARIPOSA COUNTY LIBRARY,(209) 379-2401,9670 Rancheria Flat Road,EL PORTAL,95318,160.0,http://www.mariposalibrary.org
Mariposa Library,MARIPOSA COUNTY LIBRARY,(209) 966-2140,4978 10Th Street,MARIPOSA,95338,106.0,http://www.mariposalibrary.org
Red Cloud Library,MARIPOSA COUNTY LIBRARY,(209) 878-3692,10332 C Fiske Rd.,COULTERVILLE,95311,9544.0,http://www.mariposalibrary.org
Yosemite Library,MARIPOSA COUNTY LIBRARY,(209) 372-4552,Girls Club,YOSEMITE NATIONAL PA,95389,395.0,http://www.mariposalibrary.org
Coast Community Library,MENDOCINO COUNTY LIBRARY,(707) 882-3114,225 Main St.,POINT ARENA,95468,,https://www.mendolibrary.org
Fort Bragg Branch Library,MENDOCINO COUNTY LIBRARY,(707) 964-2020,499 Laurel St.,FT BRAGG,95437,3511.0,https://www.mendolibrary.org
Round Valley Public Library,MENDOCINO COUNTY LIBRARY,(707) 983-6736,23925 Howard Street,COVELO,95428,9608.0,https://www.mendolibrary.org
Ukiah Branch Library,MENDOCINO COUNTY LIBRARY,(707) 463-4490,105 N. Main St.,UKIAH,95482,4403.0,https://www.mendolibrary.org
Willits Branch Library,MENDOCINO COUNTY LIBRARY,(707) 459-5908,390 E. Commercial St.,WILLITS,95490,3202.0,https://www.mendolibrary.org
Belle Haven Branch,MENLO PARK PUBLIC LIBRARY,(650) 330-2540,413 Ivy Dr.,MENLO PARK,94025,1338.0,http://menlopark.org/library
Menlo Park Public Library,MENLO PARK PUBLIC LIBRARY,(650) 330-2500,800 Alma St.,MENLO PARK,94025,3460.0,http://menlopark.org/library
Atwater Branch Library,MERCED COUNTY LIBRARY,(209) 358-6651,1600 Third St.,ATWATER,95301,3607.0,http://www.mercedcountylibrary.org
Delhi Educational Park Community Library,MERCED COUNTY LIBRARY,(209) 669-3169,16114 Schendal Road,DELHI,95315,9543.0,http://www.mercedcountylibrary.org
Dos Palos Branch Library,MERCED COUNTY LIBRARY,(209) 392-2155,2002 Almond,DOS PALOS,93620,2304.0,http://www.mercedcountylibrary.org
Gustine Branch Library,MERCED COUNTY LIBRARY,(209) 854-3013,205 Sixth St.,GUSTINE,95322,1112.0,http://www.mercedcountylibrary.org
Irwin-Hilmar Branch Library,MERCED COUNTY LIBRARY,(209) 632-0746,20041 W. Falke St.,HILMAR,95324,970.0,http://www.mercedcountylibrary.org
Le Grand Branch Library,MERCED COUNTY LIBRARY,(209) 389-4541,12949 Le Grand Road,LE GRAND,95333,47.0,http://www.mercedcountylibrary.org
Livingston Branch Library,MERCED COUNTY LIBRARY,(209) 394-7330,1212 Main St.,LIVINGSTON,95334,1297.0,http://www.mercedcountylibrary.org
Los Banos Branch Library,MERCED COUNTY LIBRARY,(209) 826-5254,1312 Seventh St.,LOS BANOS,93635,4753.0,http://www.mercedcountylibrary.org
Merced County Library,MERCED COUNTY LIBRARY,(209) 385-7484,2100 O St.,MERCED,95340,3637.0,http://www.mercedcountylibrary.org
Santa Nella Branch Library,MERCED COUNTY LIBRARY,(209) 826-6059,29188 W. Centinella Ave.,GUSTINE,95322,733.0,http://www.mercedcountylibrary.org
Snelling Branch Library,MERCED COUNTY LIBRARY,(209) 563-6616,15916 N. Hwy. 59,SNELLING,95369,9728.0,http://www.mercedcountylibrary.org
Winton Branch Library,MERCED COUNTY LIBRARY,(209) 358-3651,7057 W. Walnut,WINTON,95388,,http://www.mercedcountylibrary.org
Mill Valley Public Library,MILL VALLEY PUBLIC LIBRARY,(415) 389-4292,375 Throckmorton Ave.,MILL VALLEY,94941,2698.0,http://millvalleylibrary.org
Mission Viejo Library,MISSION VIEJO LIBRARY,(949) 830-7100,100 Civic Center,MISSION VIEJO,92691,5518.0,http://www.cmvl.org
Adin Station Library,MODOC COUNTY LIBRARY,(530) 299-3502,609 South Main,ADIN,96006,,http://modoccountylibrary.org
Cedarville Library,MODOC COUNTY LIBRARY,(530) 279-2614,460 Main St.,CEDARVILLE,96104,9995.0,http://modoccountylibrary.org
Lookout Library,MODOC COUNTY LIBRARY,(530) 294-5776,166 Main Street,LOOKOUT,96054,,http://modoccountylibrary.org
Modoc County Library,MODOC COUNTY LIBRARY,(530) 233-6326,212 W. Third St.,ALTURAS,96101,3913.0,http://modoccountylibrary.org
Benton Library,MONO COUNTY FREE LIBRARY,(760) 933-2542,25553 Highway 6,BENTON,93512,7438.0,http://www.monocolibraries.org
Bridgeport Library,MONO COUNTY FREE LIBRARY,(760) 932-7482,94 N. School St.,BRIDGEPORT,93517,,http://www.monocolibraries.org
Coleville Library,MONO COUNTY FREE LIBRARY,(530) 495-2788,111591 Us Highway 395,COLEVILLE,96107,9797.0,http://www.monocolibraries.org
Crowley Community Library,MONO COUNTY FREE LIBRARY,(760) 935-4505,3627 Crowley Lake Drive,CROWLEY LAKE,93546,1.0,http://www.monocolibraries.org
June Lake Library,MONO COUNTY FREE LIBRARY,(760) 648-7284,90 W. Granite Ave.,JUNE LAKE,93529,,http://www.monocolibraries.org
Lee Vining Library,MONO COUNTY FREE LIBRARY,(760) 647-6123,51710 Hwy. 395,LEE VINING,93541,,http://www.monocolibraries.org
Mammoth Lakes Library,MONO COUNTY FREE LIBRARY,(760) 934-4777,400 Sierra Park Road,MAMMOTH LAKES,93546,,http://www.monocolibraries.org
Monrovia Public Library,MONROVIA PUBLIC LIBRARY,(626) 256-8274,321 S. Myrtle Ave.,MONROVIA,91016,2848.0,http://www.monroviapubliclibrary.org
Aromas Branch Library,MONTEREY COUNTY FREE LIBRARIES,(831) 796-6128,389-D Blohm Avenue,AROMAS,95004,9736.0,www.eMCFL.org
Big Sur Branch Library,MONTEREY COUNTY FREE LIBRARIES,(831) 647-7660,Hwy. 1 At Ripplewood Resort,BIG SUR,93920,217.0,www.eMCFL.org
Buena Vista Branch Library,MONTEREY COUNTY FREE LIBRARIES,(831) 796-6060,18250 Tara Dr.,SALINAS,93908,8752.0,www.eMCFL.org
Carmel Valley Branch Library,MONTEREY COUNTY FREE LIBRARIES,(831) 647-7760,65 W. Carmel Valley Rd.,CARMEL VALLEY,93924,9521.0,www.eMCFL.org
Castroville Branch Library,MONTEREY COUNTY FREE LIBRARIES,(831) 769-8724,11160 Speegle St,CASTROVILLE,95012,2566.0,www.eMCFL.org
Gonzales Branch Library,MONTEREY COUNTY FREE LIBRARIES,(831) 386-6872,851 5Th St. Suite V,GONZALES,93926,9438.0,www.eMCFL.org
Greenfield Branch Library,MONTEREY COUNTY FREE LIBRARIES,(831) 755-5878,315 El Camino Real,GREENFIELD,93927,5131.0,www.eMCFL.org
Marina Branch Library,MONTEREY COUNTY FREE LIBRARIES,(831) 883-7507,190 Seaside Cr,MARINA,93933,2500.0,www.eMCFL.org
King City Branch Library,MONTEREY COUNTY FREE LIBRARIES,(831) 386-6885,402 Broadway,KING CITY,93930,3101.0,www.eMCFL.org
Pajaro Branch Library,MONTEREY COUNTY FREE LIBRARIES,(831) 796-6163,29 Bishop St.,PAJARO,95076,5203.0,www.eMCFL.org
Parkfield Branch Library,MONTEREY COUNTY FREE LIBRARIES,(831) 385-7456,70643 Parkfield-Coalinga Rd.,SAN MIGUEL,93451,9729.0,www.eMCFL.org
Prunedale Branch Library,MONTEREY COUNTY FREE LIBRARIES,(831) 796-3080,17822 Moro Rd.,SALINAS,93907,8963.0,www.eMCFL.org
San Ardo Branch Library,MONTEREY COUNTY FREE LIBRARIES,(831) 386-6858,62350 College,SAN ARDO,93450,127.0,www.eMCFL.org
San Lucas Branch Library,MONTEREY COUNTY FREE LIBRARIES,(831) 386-6833,54692 Teresa St.,SAN LUCAS,93954,28.0,www.eMCFL.org
Seaside Branch Library,MONTEREY COUNTY FREE LIBRARIES,(831) 899-8222,550 Harcourt Ave.,SEASIDE,93955,4710.0,www.eMCFL.org
Soledad Branch Library,MONTEREY COUNTY FREE LIBRARIES,(831) 386-6890,401 Gabilan Dr.,SOLDEDAD,93960,3207.0,www.eMCFL.org
Monterey Park Bruggemeyer Library,MONTEREY PARK BRUGGEMEYER LIBRARY,(626) 307-1418,318 S. Ramona Avenue,MONTEREY PARK,91754,3399.0,www.montereypark.ca.gov/Library
Monterey Public Library,MONTEREY PUBLIC LIBRARY,(831) 646-3933,625 Pacific St.,MONTEREY,93940,2866.0,https://www.monterey.org/library
Moorpark City Library,MOORPARK CITY LIBRARY,(805) 517-6370,699 Moorpark Avenue,MOORPARK,93021,1115.0,http://www.moorparklibrary.org
Moreno Valley Public Library,MORENO VALLEY PUBLIC LIBRARY,(951) 413-3880,25480 Alessandro Blvd,MORENO VALLEY,92553,4368.0,http://www.moval.org/mv-library
Moreno Valley Mall Branch,MORENO VALLEY PUBLIC LIBRARY,(951) 413-3880,"22500 Town Circle, Ste 2078",MORENO VALLEY,92553,7509.0,http://www.moval.org/mv-library
Moreno Valley Iris Plaza Branch,MORENO VALLEY PUBLIC LIBRARY,(951) 413-3760,16170 Perris Blvd. Suite C3,MORENO VALLEY,92551,,http://www.moval.org/mv-library
Mountain View Public Library,MOUNTAIN VIEW PUBLIC LIBRARY,(650) 903-6335,585 Franklin St.,MOUNTAIN VIEW,94041,1998.0,http://library.mountainview.gov
Murrieta Public Library,MURRIETA PUBLIC LIBRARY,(951) 304-2665,8 Town Square,MURRIETA,92562,9172.0,http://www.murrietalibrary.info
American Canyon,NAPA COUNTY LIBRARY,(707) 644-1136,"3421 Broadway/Hwy 29, Ste. E-3",AMERICAN CANYON,94503,1232.0,https://www.countyofnapa.org/library/
Calistoga Public Library,NAPA COUNTY LIBRARY,(707) 942-4833,1108 Myrtle St.,CALISTOGA,94515,1730.0,https://www.countyofnapa.org/library/
Napa County Library,NAPA COUNTY LIBRARY,(707) 253-4241,580 Coombs St.,NAPA,94559,3396.0,https://www.countyofnapa.org/library/
Yountville Library,NAPA COUNTY LIBRARY,(707) 944-1888,6516 Washington Street,YOUNTVILLE,94599,,https://www.countyofnapa.org/library/
National City Public Library,NATIONAL CITY PUBLIC LIBRARY,(619) 470-5800,1401 National City Blvd.,NATIONAL CITY,91950,3314.0,http://www.nationalcityca.gov/government/library
Bear River High School Library Station,NEVADA COUNTY LIBRARY,(530) 271-4147,11130 Magnolia Road,GRASS VALLEY,95949,8366.0,http://mynevadacounty.com/library
Doris Foley Library For Historical Research,NEVADA COUNTY LIBRARY,(530) 265-4606,211 N. Pine St.,NEVADA CITY,95959,2513.0,http://mynevadacounty.com/library
Grass Valley Library,NEVADA COUNTY LIBRARY,(530) 273-4117,207 Mill Street,GRASS VALLEY,95945,6711.0,http://mynevadacounty.com/library
